ID,WORD,LENGTH
1,people,6
2,history,7
3,way,3
4,art,3
5,world,5
6,information,11
7,map,3
8,two,3
9,family,6
10,government,10
11,health,6
12,system,6
13,computer,8
14,meat,4
15,year,4
16,thanks,6
17,music,5
18,person,6
19,reading,7
20,method,6
21,data,4
22,food,4
23,understanding,13
24,theory,6
25,law,3
26,bird,4
27,literature,10
28,problem,7
29,software,8
30,control,7
31,knowledge,9
32,power,5
33,ability,7
34,economics,9
35,love,4
36,internet,8
37,television,10
38,science,7
39,library,7
40,nature,6
41,fact,4
42,product,7
43,idea,4
44,temperature,11
45,investment,10
46,area,4
47,society,7
48,activity,8
49,story,5
50,industry,8
51,media,5
52,thing,5
53,oven,4
54,community,9
55,definition,10
56,safety,6
57,quality,7
58,development,11
59,language,8
60,management,10
61,player,6
62,variety,7
63,video,5
64,week,4
65,security,8
66,country,7
67,exam,4
68,movie,5
69,organization,12
70,equipment,9
71,physics,7
72,analysis,8
73,policy,6
74,series,6
75,thought,7
76,basis,5
77,boyfriend,9
78,direction,9
79,strategy,8
80,technology,10
81,army,4
82,camera,6
83,freedom,7
84,paper,5
85,environment,11
86,child,5
87,instance,8
88,month,5
89,truth,5
90,marketing,9
91,university,10
92,writing,7
93,article,7
94,department,10
95,difference,10
96,goal,4
97,news,4
98,audience,8
99,fishing,7
100,growth,6
101,income,6
102,marriage,8
103,user,4
104,combination,11
105,failure,7
106,meaning,7
107,medicine,8
108,philosophy,10
109,teacher,7
110,communication,13
111,night,5
112,chemistry,9
113,disease,7
114,disk,4
115,energy,6
116,nation,6
117,road,4
118,role,4
119,soup,4
120,advertising,11
121,location,8
122,success,7
123,addition,8
124,apartment,9
125,education,9
126,math,4
127,moment,6
128,painting,8
129,politics,8
130,attention,9
131,decision,8
132,event,5
133,property,8
134,shopping,8
135,student,7
136,wood,4
137,competition,11
138,distribution,12
139,entertainment,13
140,office,6
141,population,10
142,president,9
143,unit,4
144,category,8
145,cigarette,9
146,context,7
147,introduction,12
148,opportunity,11
149,performance,11
150,driver,6
151,flight,6
152,length,6
153,magazine,8
154,newspaper,9
155,relationship,12
156,teaching,8
157,cell,4
158,dealer,6
159,finding,7
160,lake,4
161,member,6
162,message,7
163,phone,5
164,scene,5
165,appearance,10
166,association,11
167,concept,7
168,customer,8
169,death,5
170,discussion,10
171,housing,7
172,inflation,9
173,insurance,9
174,mood,4
175,woman,5
176,advice,6
177,blood,5
178,effort,6
179,expression,10
180,importance,10
181,opinion,7
182,payment,7
183,reality,7
184,responsibility,14
185,situation,9
186,skill,5
187,statement,9
188,wealth,6
189,application,11
190,city,4
191,county,6
192,depth,5
193,estate,6
194,foundation,10
195,grandmother,11
196,heart,5
197,perspective,11
198,photo,5
199,recipe,6
200,studio,6
201,topic,5
202,collection,10
203,depression,10
204,imagination,11
205,passion,7
206,percentage,10
207,resource,8
208,setting,7
209,ad,2
210,agency,6
211,college,7
212,connection,10
213,criticism,9
214,debt,4
215,description,11
216,memory,6
217,patience,8
218,secretary,9
219,solution,8
220,administration,14
221,aspect,6
222,attitude,8
223,director,8
224,personality,11
225,psychology,10
226,recommendation,14
227,response,8
228,selection,9
229,storage,7
230,version,7
231,alcohol,7
232,argument,8
233,complaint,9
234,contract,8
235,emphasis,8
236,highway,7
237,loss,4
238,membership,10
239,possession,10
240,preparation,11
241,steak,5
242,union,5
243,agreement,9
244,cancer,6
245,currency,8
246,employment,10
247,engineering,11
248,entry,5
249,interaction,11
250,mixture,7
251,preference,10
252,region,6
253,republic,8
254,tradition,9
255,virus,5
256,actor,5
257,classroom,9
258,delivery,8
259,device,6
260,difficulty,10
261,drama,5
262,election,8
263,engine,6
264,football,8
265,guidance,8
266,hotel,5
267,owner,5
268,priority,8
269,protection,10
270,suggestion,10
